DateTime,Entries,UniqueIPs
1629026288,1455,1455
1629027012,1452,1452
1629027728,1453,1453
1629029169,1442,1442
1629029889,1826,1826
1629030612,1814,1814
1629031329,1811,1811
1629032049,1807,1807
1629032768,1798,1798
1629033488,1792,1792
1629034215,1784,1784
1629034569,1783,1783
1629035290,1778,1778
1629037088,1773,1773
1629037811,1769,1769
1629038528,1768,1768
1629039247,1767,1767
1629039970,1762,1762
1629040689,1764,1764
1629042131,1755,1755
1629043568,1754,1754
1629045012,1750,1750
1629045728,1749,1749
1629046450,1750,1750
1629047169,1748,1748
1629048249,1747,1747
1629048968,1743,1743
1629050050,1744,1744
1629050768,1740,1740
1629052212,1726,1726
1629053289,1724,1724
1629054367,1722,1722
1629056169,1716,1716
1629056889,1717,1717
1629057970,1747,1747
1629058689,1742,1742
1629060128,1733,1733
1629061930,1722,1722
1629064088,1711,1711
1629065168,1704,1704
1629065891,1706,1706
1629066975,1689,1689
1629068767,1683,1683
1629069850,1684,1684
1629070929,1677,1677
1629072728,1676,1676
1629073088,1678,1678
1629074890,1662,1662
1629075622,1658,1658
1629076329,1660,1660
1629076689,1661,1661
1629078491,1450,1450
1629080290,1448,1448
1629081013,1440,1440
1629081730,1438,1438
1629082451,1437,1437
1629083531,1430,1430
1629084254,1430,1430
1629084619,1423,1423
1629085334,1417,1417
1629087490,1414,1414
1629088212,1406,1406
1629089289,1407,1407
1629089651,1406,1406
1629091090,1400,1400
1629092889,1388,1388
1629094688,1383,1383
1629095412,1371,1371
1629096849,1374,1374
1629097569,1368,1368
1629097929,1369,1369
1629099012,1364,1364
1629099729,1359,1359
1629100449,1363,1363
1629101169,1360,1360
1629101530,1363,1363
1629102618,1358,1358
1629103329,1356,1356
1629104047,1354,1354
1629106210,1344,1344
1629106928,1342,1342
1629107647,1343,1343
1629108369,1340,1340
1629108729,1339,1339
1629110168,1340,1340
1629110887,1339,1339
1629112688,1333,1333
1629113772,1331,1331
1629114848,1334,1334
1629115569,1225,1225
1629115928,1225,1225
1629117011,1219,1219
1629118449,1219,1219
1629119168,1216,1216
1629119891,1216,1216
1629120616,1242,1242
1629121329,1265,1265
1629121688,1268,1268
1629123488,1251,1251
1629124211,1246,1246
1629124930,1242,1242
1629125648,1240,1240
1629126371,1229,1229
1629127090,1228,1228
1629127810,1219,1219
1629128169,1220,1220
1629129968,1211,1211
1629130689,1213,1213
1629131412,1198,1198
1629132549,1200,1200
1629133567,1195,1195
1629134289,1193,1193
1629135730,1187,1187
1629136929,1186,1186
1629137889,1189,1189
1629138617,1182,1182
1629139329,1187,1187
1629141128,1183,1183
1629141488,1185,1185
1629143288,1175,1175
1629144370,1171,1171
1629145090,1174,1174
1629145812,1160,1160
1629146529,1158,1158
1629147972,951,951
1629148690,953,953
1629149410,944,944
1629150130,943,943
1629150848,945,945
1629151571,937,937
1629152289,939,939
1629153793,934,934
1629154448,936,936
1629155169,934,934
1629156969,982,982
1629158169,973,973
1629159130,974,974
1629160212,968,968
1629160576,966,966
1629161650,966,966
1629163448,954,954
1629164170,946,946
1629165968,941,941
1629166689,944,944
1629167770,936,936
1629168922,937,937
1629169571,931,931
1629171377,921,921
1629172089,922,922
1629173170,915,915
1629174310,913,913
1629175330,910,910
1629176050,913,913
1629177491,910,910
1629178210,910,910
1629179347,911,911
1629180488,911,911
1629181088,913,913
1629182169,911,911
1629183970,908,908
1629185110,911,911
1629186129,911,911
1629187569,913,913
1629189371,913,913
1629191529,908,908
1629193329,902,902
1629195129,905,905
1629196930,907,907
1629197650,908,908
