DateTime,AddedIPs,RemovedIPs
1628995323,60,154
1628997123,50,75
1628997842,19,0
1628998563,19,165
1629000363,65,79
1629001443,46,0
1629002523,33,107
1629002883,8,0
1629003963,32,83
1629004682,13,0
1629005044,6,0
1629005764,25,101
1629006123,14,22
1629007922,57,84
1629008642,30,0
1629009842,33,152
1629011522,63,90
1629012242,13,0
1629012604,14,213
1629013682,33,59
1629014762,33,264
1629015484,12,0
1629016923,52,148
1629017282,8,0
1629019083,70,94
1629020163,55,182
1629020883,23,19
1629021963,28,134
1629023043,39,0
1629023764,21,109
1629024482,21,0
1629026283,89,58
1629027006,21,107
1629027722,28,29
1629029163,56,90
1629029884,330,0
1629030604,30,136
1629031323,23,42
1629032043,17,0
1629033123,35,150
1629033482,14,0
1629034563,38,89
1629035283,18,9
1629037804,77,137
1629038882,30,24
1629039242,6,0
1629039963,16,60
1629040683,25,0
1629042125,42,155
1629042843,17,0
1629043562,20,54
1629044642,29,0
1629045005,6,103
1629045722,31,15
1629046443,32,0
1629048605,70,148
1629049322,16,17
1629050043,24,0
1629051843,44,50
1629052205,9,74
1629053283,43,19
1629054362,39,64
1629055495,41,0
1629056163,18,110
1629056883,20,17
1629057243,6,0
1629057963,19,62
1629058683,23,0
1629060123,46,109
1629061923,66,77
1629062283,15,0
1629063363,37,99
1629064083,18,11
1629064443,8,0
1629066244,55,76
1629066964,27,115
1629067325,12,0
1629068762,37,62
1629069843,33,0
1629070923,35,120
1629072364,56,87
1629073082,19,0
1629074883,44,135
1629075612,26,93
1629076322,24,0
1629076682,16,0
1629078483,69,315
1629080285,62,62
1629081005,27,96
1629081722,25,18
1629082443,27,0
1629083524,39,76
1629084243,34,1
1629084605,13,82
1629085323,47,28
1629087483,116,51
1629088562,54,87
1629089283,36,0
1629089644,24,1
1629091084,74,79
1629092883,85,133
1629094682,100,50
1629095405,33,56
1629096843,62,15
1629099005,127,139
1629099724,39,27
1629100443,49,1
1629101163,42,49
1629102604,81,68
1629104042,67,15
1629106204,112,135
1629106923,33,21
1629107642,21,0
1629108723,57,71
1629109442,35,0
1629110163,37,78
1629110883,35,0
1629112682,98,45
1629113765,72,74
1629114843,51,4
1629115923,60,149
1629117004,45,75
1629118444,83,169
1629119884,66,70
1629121323,71,91
1629121683,23,0
1629123483,75,49
1629124205,29,76
1629124925,24,12
1629125643,27,1
1629126365,18,63
1629127082,35,0
1629128163,65,78
1629129963,111,48
1629131405,96,61
1629132543,59,12
1629134283,88,47
1629135724,79,87
1629136923,64,36
1629137883,47,1
1629139323,75,92
1629141122,89,51
1629141482,21,0
1629143283,95,59
1629144364,50,46
1629145083,34,1
1629146522,59,87
1629147966,617,255
1629149404,941,70
1629150123,243,19
1629150843,272,1
1629152283,501,38
1629152643,71,0
1629153782,234,69
1629154443,136,0
1629155163,126,44
1629156605,212,64
1629156963,44,9
1629159123,258,43
1629160205,88,50
1629160570,35,6
1629161643,92,1
1629163443,124,71
1629164163,49,80
1629165963,113,44
1629166682,37,0
1629167764,56,59
1629168915,74,1
1629169564,56,54
1629171362,135,87
1629172083,41,4
1629173164,63,25
1629174303,46,1
1629175323,44,44
1629176043,44,0
1629177484,77,60
1629178204,43,58
1629179342,52,18
1629181083,91,41
1629182523,70,64
1629182883,13,0
1629183964,51,58
1629185103,47,1
1629186123,45,88
1629187564,93,34
1629189364,102,53
1629189723,17,0
1629191523,100,70
1629193323,83,83
1629195123,88,32
1629196923,99,92
1629197643,32,0
1629198362,28,44
1629199805,68,395
1629200163,13,12
1629201967,99,54
1629203043,46,0
1629204243,76,59
1629205383,175,54
1629206283,91,0
1629207366,105,64
1629207722,32,4
1629208923,109,40
1629210068,109,0
1629211323,77,70
1629212764,110,34
1629213842,71,2
1629214923,71,72
1629215642,45,1
1629216782,66,49
1629217083,14,0
1629218223,66,69
1629219244,56,1
1629220684,74,43
1629222843,139,54
1629224284,127,45
1629225362,77,68
1629226442,91,0
1629227164,53,43
1629228963,130,83
1629229683,51,8
1629232206,169,109
1629233283,77,10
1629234723,97,34
1629235804,65,60
1629236524,43,18
1629237242,57,0
1629238683,69,40
1629239763,58,51
1629240123,24,0
1629241209,22,50
1629241923,28,3
1629242283,18,0
1629244083,84,72
1629244444,16,0
1629245884,63,29
1629246604,29,64
1629247324,23,12
1629249482,113,60
1629250205,50,76
1629250923,37,29
1629252123,43,51
1629253082,39,0
1629254164,48,92
1629255963,100,79
1629258124,99,119
1629258843,34,0
1629259923,54,64
1629260645,26,0
1629261363,37,91
1629261725,15,0
1629263523,87,111
1629263883,25,0
1629265324,65,120
1629266042,39,0
1629267121,55,63
1629267843,31,1
1629268204,13,102
1629269342,62,0
1629270483,45,124
1629271083,35,0
1629271804,45,133
1629273243,108,47
1629274322,67,81
1629275763,69,118
1629276483,41,2
1629278283,85,99
1629279723,111,146
1629280087,21,1
1629281882,171,78
1629282963,64,138
1629284414,366,107
1629286564,1071,119
1629288364,833,100
1629288723,18,0
1629289863,67,88
1629290882,64,0
1629292690,72,102
1629294125,59,95
1629295214,50,43
1629295563,15,0
1629296642,47,0
1629298443,601,68
1629299522,545,109
1629300963,650,110
1629302102,169,12
1629303843,116,55
1629304924,68,81
1629306723,118,90
1629308602,97,116
1629310323,102,55
1629311043,46,1
1629311763,52,94
1629312482,48,0
1629314284,143,73
1629315723,104,98
1629317165,101,70
1629318608,92,149
1629320044,103,28
1629322205,145,226
1629323644,95,27
1629325083,84,71
1629325809,26,105
1629326164,16,18
1629327275,83,0
1629328683,83,85
1629330483,118,122
1629332282,105,63
1629333725,86,101
1629334444,42,0
1629336605,153,176
1629337323,49,18
1629339123,171,75
1629339483,34,0
1629340205,45,117
1629341343,60,39
1629342364,47,87
1629343083,30,0
1629343444,19,0
1629344164,24,104
1629346684,107,104
1629347404,24,129
1629348484,54,42
1629349564,43,80
1629350643,36,1
1629351006,23,130
1629352083,57,35
1629352443,20,0
1629353522,35,95
1629353884,14,0
1629354962,57,158
1629356762,76,126
1629357124,13,0
1629360202,82,327
1629360751,0,24734
1629361863,24625,0
1629362522,29,61
1629363723,73,122
1629364683,44,1
1629366123,61,191
1629367923,72,202
1629368644,38,0
1629369005,13,246
1629369723,31,61
1629371522,70,155
1629372243,28,0
1629374043,86,284
1629375122,16,24471
1629375843,24380,0
1629376568,20,262
1629376923,20,0
1629378723,78,179
1629379443,46,1
1629380163,38,290
1629380523,17,35
1629382322,115,182
1629383042,46,2
1629383763,31,291
1629384124,22,0
1629384842,78,0
1629386642,167,219
1629387362,91,393
1629388083,131,62
1629389882,215,198
1629391324,145,125
1629393124,167,83
1629393484,24,0
1629394204,63,108
1629395644,157,41
1629396365,85,77
1629398523,199,140
1629398884,37,0
1629401763,279,258
1629402123,30,25
1629403923,159,87
1629404643,49,0
1629405364,47,145
1629406083,45,0
1629406443,37,0
1629407164,60,104
1629408604,87,88
1629409324,41,26
1629410523,58,40
1629411485,71,0
1629412923,81,76
1629414364,56,70
1629415443,54,0
1629416523,31,98
1629417782,54,77
1629419044,40,0
1629420483,59,135
1629422643,76,58
1629423364,22,101
1629424082,23,13
1629424811,23,70
1629425523,28,1
1629425883,10,0
1629427323,49,87
1629428044,23,0
1629429482,44,74
1629430924,58,109
1629431643,41,0
1629432722,44,65
1629433805,32,101
1629434943,42,26
1629436083,46,80
1629437043,50,1
1629438123,40,145
1629439923,85,75
1629441005,39,103
1629441723,27,44
1629442923,54,67
1629444604,89,102
1629445325,70,46
1629447124,86,68
1629447846,28,0
1629448564,17,143
1629449283,34,0
1629450722,53,91
1629452163,61,234
1629454322,33,21667
1629455044,21659,0
1629455765,37,112
1629456123,14,0
1629456843,32,0
1629457922,32,9529
1629459723,9499,111
1629460443,42,1
1629461523,44,61
1629462248,28,1
1629462963,19,118
1629463323,12,0
1629464042,26,0
1629464764,27,94
1629465483,28,0
1629466567,31,92
1629467643,54,15
1629469443,67,66
1629470164,25,119
1629471303,36,2
1629472396,26,95
1629473406,38,137
1629474123,28,39
1629475923,72,75
1629477363,61,119
1629478443,36,0
1629479583,51,83
1629480604,45,88
1629481684,34,45
1629483123,90,96
1629483846,40,0
1629484563,44,156
1629485282,50,0
1629486723,69,94
1629488522,113,145
1629488886,27,1
1629491043,84,10512
1629491763,10466,113
1629492844,43,1
1629493923,43,89
1629494643,24,1
1629495005,13,96
1629496083,42,36
1629496442,12,0
1629497523,34,95
1629498244,24,0
1629499324,23,143
1629501123,53,111
1629501843,26,0
1629502923,32,150
1629504364,41,89
1629505805,48,131
1629506523,22,24
1629508322,55,116
1629509405,34,190
1629510123,34,42
1629510843,33,0
1629511563,26,62
1629513722,74,104
1629514443,30,0
1629515164,19,62
1629516606,32,80
1629518043,47,33
1629519482,50,74
1629519843,14,0
1629521283,49,96
1629523083,72,75
1629524523,78,132
1629526323,56,62
1629527405,37,64
1629528543,75,12
1629530282,78,38
1629531723,42,116
1629532923,65,80
1629533884,40,1
1629535682,117,101
1629537123,75,57
1629537843,34,0
1629538563,34,103
1629540723,107,64
