DateTime,AddedIPs,RemovedIPs
1628550728,2,0
1628554326,2,1
1628556848,1,0
1628558289,1,2
1628560087,0,1
1628561169,0,1
1628563689,1,0
1628566927,1,2
1628568727,1,1
1628570171,1,1
1628571967,0,1
1628576286,2,3
1628579167,0,1
1628580968,2,1
1628584569,1,1
1628588528,1,0
1628591767,1,1
1628594646,1,1
1628597168,0,3
1628598966,2,0
1628603767,1,0
1628604909,0,2
1628605811,0,1
1628607246,20,0
1628609048,1,1
1628609767,0,2
1628611927,0,1
1628616249,0,1
1628619128,1,0
1628620927,1,1
1628622368,2,0
1628624641,0,1
1628625622,1,5
1628625968,0,1
1628626688,1,1
1628627412,2,0
1628631012,1,1
1628634616,1,0
1628637127,1,0
1628638567,1,0
1628640368,1,1
1628642167,3,0
1628644326,1,0
1628646128,3,2
1628649012,0,1
1628650207,1,0
1628651348,0,2
1628652668,0,1
1628655127,2,2
1628656929,0,1
1628668819,1,0
1628669528,1,0
1628670967,1,1
1628673127,0,1
1628674568,0,2
1628676727,1,0
1628678166,0,3
1628680328,0,1
1628682488,1,0
1628685011,1,1
1628686087,1,0
1628687889,1,0
1628688615,2,1
1628690767,0,2
1628692566,2,0
1628693288,2,0
1628694728,1,0
1628698550,4,0
1628701569,1,1
1628702289,1,0
1628703730,2,0
1628704451,1,0
1628706613,0,2
1628707687,1,1
1628710211,0,1
1628714531,0,2
1628715969,0,1
1628717410,0,1
1628719928,0,1
1628724251,0,1
1628725327,0,2
1628726048,1,0
1628727848,0,2
1628732528,0,1
1628735412,2,0
1628738652,3,1
1628739012,0,1
1628740447,2,0
1628743331,1,0
1628746567,0,1
1628749810,0,1
1628750887,2,1
1628752688,1,0
1628754488,1,0
1628755928,2,0
1628758087,0,1
1628764568,0,2
1628764927,2,0
1628767448,1,1
1628768167,0,2
1628769967,1,0
1628771412,0,3
1628774652,0,1
1628776926,0,2
1628780767,1,0
1628784369,1,0
1628785446,1,0
1628787967,1,1
1628790128,0,1
1628791927,1,1
1628792651,1,0
1628793012,0,2
1628795527,1,0
1628797327,0,2
1628799128,0,1
1628803810,0,1
1628806687,1,0
1628807411,1,0
1628808489,0,1
1628809567,2,1
1628811011,0,4
1628812825,3,1
1628815687,0,1
1628817489,0,2
1628818210,0,1
1628818929,2,2
1628820728,3,0
1628824328,1,1
1628825828,0,1
1628831168,1,1
1628833330,3,1
1628835128,2,0
1628836209,1,0
1628838727,3,1
1628840526,0,3
1628842688,1,0
1628843419,0,1
1628845567,1,0
1628846287,1,0
1628847727,1,0
1628849167,0,1
