DateTime,Entries,UniqueIPs
1629040684,12379,12379
1629042126,12336,12336
1629042846,12350,12350
1629043564,12335,12335
1629044643,12365,12365
1629045006,12325,12325
1629045723,12338,12338
1629046445,12360,12360
1629047165,12336,12336
1629047525,12348,12348
1629048244,12370,12370
1629048964,12347,12347
1629049324,12347,12347
1629050044,12360,12360
1629050764,12351,12351
1629052207,12343,12343
1629053285,12376,12376
1629054364,12373,12373
1629055497,12394,12394
1629056165,12359,12359
1629056885,12358,12358
1629057244,12366,12366
1629057965,12337,12337
1629058685,12358,12358
1629060125,12331,12331
1629061924,12338,12338
1629062285,12348,12348
1629064084,12355,12355
1629064445,12358,12358
1629065164,12342,12342
1629065885,12358,12358
1629066249,12367,12367
1629066970,12335,12335
1629067327,12341,12341
1629068763,12347,12347
1629069845,12363,12363
1629070924,12327,12327
1629072725,12341,12341
1629073084,12349,12349
1629074885,12318,12318
1629075615,12295,12295
1629076325,12313,12313
1629076684,12327,12327
1629078485,12337,12337
1629080286,12351,12351
1629081008,12319,12319
1629081724,12323,12323
1629082446,12334,12334
1629083526,12324,12324
1629084249,12332,12332
1629084613,12301,12301
1629085329,12317,12317
1629087484,12354,12354
1629088207,12334,12334
1629088563,12340,12340
1629089284,12355,12355
1629089646,12372,12372
1629091086,12380,12380
1629092885,12357,12357
1629094684,12360,12360
1629095408,12344,12344
1629096844,12370,12370
1629097564,12345,12345
1629097924,12358,12358
1629099007,12351,12351
1629099725,12353,12353
1629100444,12386,12386
1629101165,12370,12370
1629101526,12378,12378
1629102612,12365,12365
1629103324,12392,12392
1629104043,12409,12409
1629106206,12373,12373
1629106924,12377,12377
1629107644,12387,12387
1629108365,12365,12365
1629108724,12370,12370
1629109444,12388,12388
1629110165,12364,12364
1629110884,12391,12391
1629112683,12421,12421
1629113767,12410,12410
1629114844,12439,12439
1629115566,12440,12440
1629115924,12448,12448
1629117007,12420,12420
1629118445,12312,12312
1629119164,12287,12287
1629119886,12305,12305
1629120611,12288,12288
1629121325,12281,12281
1629121685,12294,12294
1629123484,12307,12307
1629124207,12280,12280
1629124926,12297,12297
1629125644,12311,12311
1629126367,12267,12267
1629127084,12289,12289
1629127805,12262,12262
1629128164,12267,12267
1629130684,12304,12304
1629131407,12297,12297
1629132545,12313,12313
1629133564,12303,12303
1629134286,12318,12318
1629135726,12294,12294
1629136924,12310,12310
1629137884,12324,12324
1629138613,12288,12288
1629139325,12290,12290
1629141124,12296,12296
1629141483,12306,12306
1629143284,12317,12317
1629144365,12305,12305
1629145085,12322,12322
1629145807,12299,12299
1629146523,12298,12298
1629147967,12858,12858
1629148685,13488,13488
1629149405,13725,13725
1629150125,13923,13923
1629150844,14174,14174
1629151566,14380,14380
1629152284,14597,14597
1629152649,14659,14659
1629153788,14822,14822
1629154444,14945,14945
1629155165,15029,15029
1629156965,15200,15200
1629158164,15310,15310
1629159125,15367,15367
1629160208,15411,15411
1629160572,15437,15437
1629161645,15502,15502
1629163444,15560,15560
1629164165,15555,15555
1629165964,15606,15606
1629166685,15632,15632
1629167765,15636,15636
1629168917,15673,15673
1629169566,15672,15672
1629171370,15711,15711
1629172085,15745,15745
1629173165,15772,15772
1629174305,15803,15803
1629175325,15808,15808
1629176045,15842,15842
1629177486,15861,15861
1629178206,15857,15857
1629179343,15871,15871
1629180484,15879,15879
1629181084,15906,15906
1629181445,15909,15909
1629182165,15885,15885
1629182886,15908,15908
1629183965,15900,15900
1629185105,15925,15925
1629186125,15894,15894
1629187565,15919,15919
1629189366,15948,15948
1629189725,15957,15957
1629191525,15990,15990
1629193324,16002,16002
1629195125,16036,16036
1629196925,16031,16031
1629197645,16048,16048
1629198363,16036,16036
1629199085,16064,16064
1629199807,16020,16020
1629200165,16019,16019
1629201969,16050,16050
1629202683,16065,16065
1629203045,16070,16070
1629204245,16085,16085
1629205385,16207,16207
1629206285,16280,16280
1629207368,16300,16300
1629207724,16310,16310
1629208925,16359,16359
1629210070,16446,16446
1629211324,16461,16461
1629212765,16513,16513
1629213844,16576,16576
1629214924,16565,16565
1629215645,16603,16603
1629216784,16619,16619
1629217084,16623,16623
1629218225,16612,16612
1629219245,16646,16646
1629219964,16646,16646
1629220685,16668,16668
1629222845,16688,16688
1629224285,16715,16715
1629225724,16720,16720
1629226444,16735,16735
1629227165,16726,16726
1629228964,16732,16732
1629229685,16746,16746
1629230767,16739,16739
1629232209,16736,16736
1629233286,16757,16757
1629234364,16776,16776
1629234724,16777,16777
1629235805,16766,16766
1629236526,16769,16769
1629237244,16787,16787
1629239049,16786,16786
1629240125,16780,16780
1629241213,16752,16752
1629241924,16768,16768
1629242284,16784,16784
1629244085,16771,16771
1629244445,16781,16781
1629246607,16759,16759
1629247325,16761,16761
1629249484,16789,16789
1629250207,16768,16768
1629250925,16770,16770
1629252125,16760,16760
1629253084,16777,16777
1629253807,16750,16750
1629254166,16751,16751
1629255965,16760,16760
1629258130,16745,16745
1629258845,16765,16765
1629260285,16765,16765
1629261006,16735,16735
1629261726,16753,16753
1629263525,16738,16738
1629263885,16755,16755
1629265327,16716,16716
1629266044,16733,16733
1629267122,16721,16721
1629267845,16736,16736
1629268206,16683,16683
1629269344,16730,16730
1629270484,16670,16670
1629271085,16690,16690
1629271806,16629,16629
1629272525,16624,16624
1629273245,16642,16642
1629274323,16623,16623
1629275764,16587,16587
1629276485,16611,16611
1629278285,16601,16601
1629280089,16606,16606
1629281884,16611,16611
1629282607,16542,16542
1629282965,16554,16554
1629284416,16530,16530
1629285844,16574,16574
1629286565,16524,16524
1629288365,16514,16514
1629288724,16518,16518
1629289865,16495,16495
1629291245,16538,16538
1629292692,16506,16506
1629293412,16474,16474
1629294127,16475,16475
1629295564,16492,16492
1629296644,16515,16515
1629297727,16512,16512
1629298445,16521,16521
1629299524,16496,16496
1629300964,16480,16480
1629302104,16500,16500
1629303844,16544,16544
1629304926,16539,16539
1629306725,16558,16558
1629307445,16580,16580
1629308604,16553,16553
1629310324,16572,16572
1629311049,16586,16586
1629311770,16559,16559
1629312484,16581,16581
1629314286,16586,16586
1629315724,16569,16569
1629317167,16558,16558
1629317885,16578,16578
1629318611,16475,16475
1629320045,16490,16490
1629320765,16447,16447
1629321486,16456,16456
1629322208,16392,16392
1629322924,16390,16390
1629323645,16404,16404
1629325450,16387,16387
1629326171,16311,16311
1629327276,16337,16337
1629329044,16323,16323
1629329765,16266,16266
1629330484,16281,16281
1629332283,16278,16278
1629333007,16239,16239
1629333726,16247,16247
1629334446,16259,16259
1629336245,16281,16281
1629336964,16224,16224
1629337324,16241,16241
1629339126,16211,16211
1629339485,16221,16221
1629340209,16156,16156
1629341345,16174,16174
1629342366,16145,16145
1629343086,16158,16158
1629343452,16169,16169
1629344172,16101,16101
1629346686,16096,16096
1629347406,16012,16012
1629348485,16012,16012
1629349566,15983,15983
1629350644,16007,16007
1629351008,15936,15936
1629352085,15952,15952
1629352445,15960,15960
1629353886,15908,15908
1629354964,15826,15826
1629356045,15848,15848
1629357125,15788,15788
1629360204,15582,15582
1629361865,15441,15441
1629362525,15413,15413
1629363724,15353,15353
1629364684,15371,15371
1629366125,15268,15268
1629367925,15136,15136
1629368645,15155,15155
1629369006,14953,14953
1629369725,14924,14924
1629371524,14831,14831
1629372244,14837,14837
1629374044,14630,14630
1629375124,14529,14529
1629375845,14548,14548
1629376570,14341,14341
1629376925,14353,14353
1629378724,14268,14268
1629379450,14304,14304
1629380168,14082,14082
1629380525,14053,14053
1629382323,13969,13969
1629383044,14005,14005
1629383765,13774,13774
1629384125,13789,13789
1629384844,13857,13857
1629386644,13789,13789
1629387363,13509,13509
1629388085,13570,13570
1629389884,13593,13593
1629391325,13613,13613
1629393125,13689,13689
1629393485,13709,13709
1629394207,13700,13700
1629395646,13797,13797
1629396366,13819,13819
1629397084,13880,13880
1629397447,13913,13913
1629398165,13874,13874
1629398885,13916,13916
1629400324,13965,13965
1629401044,14013,14013
1629401764,13978,13978
1629402124,13984,13984
1629403924,14065,14065
1629404645,14103,14103
