DateTime,AddedIPs,RemovedIPs
1628376131,0,1
1628378288,1,0
1628379369,0,1
1628381170,0,2
1628382667,0,2
1628385130,1,0
1628386929,1,0
1628390529,0,3
1628392331,2,0
1628394130,3,0
1628396648,1,0
1628397012,0,2
1628399169,0,1
1628400611,0,4
1628402768,2,1
1628407450,1,0
1628408168,0,2
1628411053,4,1
1628412129,0,2
1628414648,1,0
1628415731,0,1
1628417528,0,1
1628418249,1,0
1628418968,1,3
1628420048,1,0
1628421848,1,0
1628422212,1,0
1628424729,2,0
1628428088,0,1
1628430847,1,3
1628433010,0,1
1628434088,0,1
1628435168,0,1
1628437329,0,3
1628438048,1,0
1628440212,0,3
1628442727,0,1
1628444532,0,1
1628445727,5,0
1628450289,1,0
1628451011,0,2
1628451733,2,0
1628454250,2,1
1628454968,0,1
1628456048,1,0
1628456767,1,0
1628457489,1,0
1628459289,3,2
1628459647,2,0
1628460370,0,2
1628461453,3,0
1628462168,0,1
1628465410,0,2
1628465768,0,1
1628466487,1,0
1628466850,1,0
1628469012,2,3
1628469730,1,0
1628472613,1,1
1628474768,0,1
1628476928,0,2
1628479088,1,1
1628479450,1,0
1628480531,0,1
1628481969,2,4
1628483410,1,0
1628484129,0,1
1628485928,0,2
1628487728,1,0
1628489887,1,0
1628491689,0,3
1628492048,1,0
1628492769,0,1
1628497448,1,0
1628498169,1,0
1628500328,1,3
1628503217,0,2
1628505729,1,4
1628507527,1,1
1628508610,0,5
1628514021,0,1
1628516528,1,2
1628518327,1,4
1628519413,0,1
1628520128,4,0
1628522287,13,0
1628523014,3,2
1628523727,6,1
1628524449,3,0
1628525169,3,0
1628525887,6,0
1628526248,3,0
1628526968,1,3
1628527690,1,1
1628528047,3,0
1628529850,5,0
1628531049,2,1
1628532369,2,1
1628534529,7,0
1628535248,2,0
1628537411,2,0
1628539569,2,2
1628541729,2,0
1628544249,1,0
1628545328,1,0
1628547128,1,3
1628550729,0,1
1628555769,1,0
1628560089,2,1
1628561170,2,1
1628563689,1,1
1628565853,1,2
1628566929,2,1
1628568729,0,1
1628570172,0,1
1628571968,1,0
1628572688,1,0
1628576287,0,1
1628577011,0,1
1628579168,0,1
1628580969,0,1
1628582768,0,1
1628584570,1,3
1628587087,1,0
1628588168,0,1
1628590329,2,3
1628591769,0,3
1628594647,0,1
1628595370,0,2
1628598967,0,3
1628602211,0,2
1628603768,1,0
1628604910,1,3
1628605812,1,2
1628607247,0,1
1628609050,0,3
1628609768,1,4
1628611928,2,3
1628612289,1,0
1628614089,1,4
1628616250,0,6
1628617688,1,2
1628619130,0,4
1628620928,1,5
1628622369,0,8
1628624643,0,11
1628624887,1,0
1628625624,0,8
1628627414,1,3
1628628130,0,1
1628631013,1,2
1628634618,1,0
1628637129,0,1
1628638569,0,2
1628642168,0,2
1628642529,0,1
1628646129,0,1
1628649013,0,3
1628650208,0,2
1628651350,0,1
1628652668,0,4
1628655128,0,1
1628656212,0,2
1628656931,0,1
1628658366,0,1
1628660529,0,2
1628661969,0,1
1628663768,0,1
1628664848,1,0
1628667728,1,1
1628668820,0,3
1628670968,0,3
1628671329,0,1
1628673128,1,1
1628674569,0,3
1628674929,1,0
1628676728,0,2
1628679248,0,1
1628680329,2,0
1628681050,1,0
1628681770,0,2
1628684288,0,1
1628685013,0,2
1628685730,1,0
1628686089,1,0
1628688616,0,4
1628689331,1,1
1628690768,2,6
1628692568,2,2
1628694367,0,1
1628696529,1,0
1628698552,1,0
1628699412,0,3
1628701570,1,0
1628703731,0,1
1628707688,0,1
1628710212,0,1
1628711289,1,0
1628716329,1,0
1628719930,0,1
1628722090,0,1
1628727849,0,1
1628729289,1,0
1628732529,0,2
1628743332,0,2
1628746568,1,0
1628749811,0,1
1628753048,1,0
1628759229,0,1
1628760971,0,2
1628764569,1,0
1628767450,0,1
1628768168,0,1
1628769968,1,0
1628771413,0,1
1628772848,0,1
1628774654,0,1
1628775369,0,1
1628776927,0,2
1628778970,0,2
1628782928,1,1
1628786170,0,1
1628788330,1,0
1628789049,1,0
1628790130,1,0
1628791928,0,1
1628797329,0,1
1628797688,1,0
1628800268,1,0
1628802370,1,1
1628804889,0,1
1628807413,0,1
1628808490,1,0
1628814612,0,1
1628819649,1,0
1628820729,1,0
1628822169,0,1
1628829368,0,1
1628833331,0,1
1628836211,0,2
1628838729,1,0
1628840527,1,1
1628845568,6,0
1628849168,0,1
1628851329,1,0
1628852769,1,0
1628857088,0,1
1628863569,5,0
1628871489,2,0
1628874730,1,1
1628876171,0,1
1628878693,1,0
1628880488,0,1
1628882288,0,1
1628883369,1,0
1628887689,2,0
1628889489,0,1
1628890928,0,1
1628892731,1,1
1628901729,0,1
1628903890,1,0
1628911817,0,2
1628913620,1,0
1628916249,0,1
1628917927,0,1
1628920449,1,0
1628922248,1,0
1628924828,0,1
1628926927,1,1
1628928729,1,0
1628935930,0,2
1628937011,0,1
1628940612,0,2
1628944929,0,1
1628947089,4,0
1628947816,1,1
1628948169,1,0
1628950687,1,0
1628952130,2,1
1628952848,1,0
1628953568,1,1
1628954293,1,0
1628956088,0,3
1628956818,1,1
1628959329,1,0
1628964369,0,1
1628971571,1,0
1628972291,1,0
1628973369,1,0
1628977330,1,0
1628978768,1,0
1628980567,0,1
1628982727,1,0
1628984887,0,2
1628995330,0,1
1628998568,0,1
1629002529,1,0
1629005769,0,1
1629012612,0,1
1629014768,0,8
1629019089,2,0
1629022328,0,5
1629026287,1,0
1629027728,0,1
1629029889,1,0
1629030611,0,2
1629031329,0,2
1629032767,0,7
1629037810,0,2
1629042849,3,0
1629043568,1,0
1629045011,1,0
1629054367,1,1
1629056169,0,1
1629056888,1,0
1629057969,0,1
1629060128,0,1
1629061930,1,1
1629064088,1,0
1629068767,1,1
1629072728,0,1
1629078490,1,0
1629089288,1,0
1629094688,1,0
1629101168,0,1
1629106210,1,0
1629117011,0,1
1629118449,3,3
1629121328,0,1
1629128168,1,0
1629129968,2,0
1629130688,1,0
1629132549,0,1
1629137888,1,0
1629145811,0,1
1629146528,0,1
1629147971,22,0
1629148690,20,0
1629149410,8,1
1629150129,6,0
1629150848,6,0
1629151571,0,1
1629152288,5,0
