DateTime,AddedIPs,RemovedIPs
1628509697,14,11
1628511605,12,15
1628515453,18,20
1628519528,17,22
1628523381,27,21
1628525298,16,16
1628527450,25,6
1628529371,29,13
1628531296,19,7
1628533211,26,11
1628535127,27,11
1628537056,17,16
1628538969,15,16
1628541128,20,14
1628543303,7,5
1628545231,16,13
1628547131,20,5
1628549047,15,17
1628550983,15,12
1628552887,10,11
1628554813,8,19
1628556727,11,12
1628558661,13,15
1628560566,8,9
1628562489,10,11
1628564433,13,12
1628566341,14,7
1628568498,5,0
1628570416,13,8
1628572329,29,10
1628574256,30,15
1628578088,21,24
1628580249,22,14
1628582167,34,11
1628584104,22,13
1628586008,23,13
1628587928,29,14
1628589870,11,10
1628591768,19,21
1628593927,25,16
1628595848,24,19
1628597778,25,15
1628599685,15,17
1628601848,12,8
1628603767,18,5
1628605694,28,10
1628607610,22,11
1628609526,27,17
1628613367,21,17
1628615529,11,17
1628617446,7,7
1628619376,13,15
1628621284,17,17
1628623210,11,0
1628625125,16,5
1628627060,13,13
1628631131,12,21
1628633052,9,9
1628634980,18,10
1628636894,4,15
1628638819,15,4
1628640724,8,17
1628642647,9,7
1628644579,9,9
1628646487,11,17
1628648650,8,11
1628650568,14,8
1628652497,12,11
1628654425,9,6
1628656575,17,15
1628658487,12,11
1628660415,24,15
1628662329,19,21
1628664248,13,0
1628666177,21,0
1628668087,9,13
1628670247,15,20
1628672168,16,26
1628674099,10,17
1628676031,17,19
1628677928,16,17
1628679966,21,21
1628681768,13,0
1628683927,16,13
1628685848,16,15
1628687776,30,12
1628689688,20,9
1628691846,21,14
1628693766,24,12
1628695697,19,11
1628697621,28,18
1628699527,16,12
1628701463,16,16
1628703501,14,15
1628707215,14,26
1628709428,15,8
1628711296,17,0
1628713274,19,15
1628715135,13,13
1628717062,12,18
1628719278,8,0
1628721393,13,12
1628723296,10,8
1628725473,9,7
1628727617,9,26
1628729779,8,0
1628731697,8,0
1628733628,10,21
1628735541,15,7
1628737452,7,0
1628739377,18,12
1628741285,12,0
1628743452,8,21
1628745378,16,0
1628747287,22,11
1628749469,18,8
1628751376,24,21
1628753284,18,0
1628755214,19,17
1628757137,18,27
1628759309,23,20
1628761222,19,13
1628763139,14,17
1628765046,21,0
1628767039,22,20
1628769247,16,15
1628771061,16,21
1628772966,26,0
1628774887,21,8
1628776827,26,14
1628778737,19,6
1628782578,15,11
1628784737,16,30
1628786648,19,21
1628788575,10,0
1628790726,17,25
1628792654,16,18
1628794566,17,0
1628796485,16,14
1628798428,16,17
1628800326,5,17
1628802257,10,7
1628804180,13,9
1628806087,12,16
1628808016,13,9
1628809928,15,14
1628811856,10,17
1628813775,8,15
1628815929,12,0
1628817845,8,17
1628821690,11,19
1628823624,9,0
1628825536,9,9
1628827464,6,9
1628829378,6,6
1628831296,11,14
1628833217,14,22
1628835128,17,0
1628837047,20,50
1628838976,23,10
1628840887,16,0
1628843046,10,28
1628844967,11,13
1628846895,14,25
1628848818,15,26
1628850979,23,19
1628853127,21,13
1628855044,23,19
1628856977,15,14
1628858885,16,16
1628861046,25,17
1628862969,15,14
1628864894,21,15
1628866818,17,10
1628868725,24,0
1628870670,9,13
1628872570,16,12
1628874488,12,16
1628876419,22,7
1628878327,11,17
1628880246,14,16
1628882178,16,8
1628884084,17,17
1628886006,3,18
1628887935,15,16
1628889849,16,0
1628893697,9,29
1628895628,10,42
1628897526,2,0
1628899465,5,25
1628901366,12,0
1628903525,10,29
1628905455,10,14
1628907378,15,9
1628909287,7,8
1628911446,14,9
1628913368,11,11
1628915294,7,7
1628917217,15,10
1628919124,27,0
1628921074,10,22
1628922965,25,17
1628925128,19,11
1628927058,19,17
1628930887,18,20
1628933051,13,13
1628936896,10,8
1628938811,20,12
1628940725,10,0
1628942664,10,11
1628944568,7,12
1628946727,22,16
1628948646,12,0
1628950587,12,14
1628952486,12,8
1628954650,12,13
1628956567,9,13
1628958498,10,0
1628960418,10,10
1628964266,19,38
1628966173,15,10
1628968329,6,14
1628970249,10,8
1628972178,12,9
1628974331,7,11
1628976247,7,13
1628978178,11,14
1628980085,9,10
1628982021,6,9
1628983935,9,15
1628985855,7,13
1628988010,14,12
1628989939,9,14
1628991850,7,11
1628993770,7,0
1628995696,9,8
1628997608,10,13
1628999527,10,15
1629001462,10,11
1629003366,7,16
1629005528,20,0
1629009381,14,25
1629011297,16,0
1629013451,26,30
1629015366,15,13
1629017299,14,17
1629019208,16,16
1629021129,9,14
1629023046,12,0
1629024969,18,16
1629026895,10,33
1629028817,12,0
1629030724,9,14
1629032669,6,4
1629034567,18,21
1629036729,17,16
1629038645,9,12
1629040591,8,14
1629042487,12,14
1629046566,10,15
1629048509,10,17
1629050426,18,0
1629052328,10,13
1629054263,13,10
1629056171,7,19
1629058083,10,4
1629060019,12,8
1629061926,18,13
1629063851,10,0
1629065777,10,14
1629067690,7,13
1629069848,13,14
1629072020,9,7
1629073936,8,12
1629075856,4,8
1629077768,14,8
1629079937,8,17
1629081844,15,11
1629083782,8,22
1629085688,11,0
1629087620,8,23
1629089527,8,0
1629091445,20,11
1629093377,12,24
1629095297,23,0
1629097226,21,18
1629099129,11,17
1629101053,10,10
1629102977,15,25
1629104884,8,11
1629107046,17,13
1629108965,17,21
1629110899,16,0
1629112808,13,13
1629114727,14,9
1629116658,14,14
1629118567,18,15
1629120486,13,15
1629122427,16,12
1629124327,17,9
1629126493,17,20
1629128647,11,11
1629130567,21,11
1629132496,20,10
1629134409,22,13
1629136328,20,12
1629138256,15,0
1629140165,11,13
1629142091,9,0
1629144023,13,12
1629145926,14,11
1629147852,6,11
1629149778,12,13
1629151686,9,11
1629153849,10,23
1629155767,10,11
1629157696,17,0
1629159606,8,14
1629161770,15,8
1629163695,12,10
1629165612,7,20
1629167527,15,13
1629169464,10,4
1629171368,13,12
1629177376,17,36
1629179285,17,13
1629181448,14,9
1629183366,26,9
1629185297,23,19
1629187218,16,15
1629189125,29,16
1629191065,21,19
1629192968,20,19
1629195128,15,13
1629197058,23,15
1629198976,14,15
1629200889,17,21
1629203049,19,18
1629205223,5,17
1629207137,21,13
1629209305,18,28
1629211450,23,9
1629213380,20,15
1629215528,22,16
1629217448,17,12
1629219380,18,9
1629221524,12,7
1629223454,13,11
1629225378,17,16
1629227543,15,18
1629229457,15,12
1629231365,15,14
1629233296,12,13
1629235205,10,10
1629237125,7,12
1629239056,7,13
1629240964,11,10
1629243127,11,10
1629245055,6,10
1629246978,7,17
1629249127,8,9
1629251057,12,9
1629252968,15,0
1629254899,10,13
1629256807,11,9
1629258725,17,9
1629260649,7,0
1629262566,6,17
1629264497,15,14
1629266418,18,20
1629268325,25,14
1629270258,11,16
1629272179,22,17
1629274095,22,0
1629276016,14,0
1629277927,15,18
1629279847,20,13
1629281778,12,14
1629283688,11,13
1629285608,18,20
1629287537,18,15
1629289449,23,18
1629291366,19,13
1629293297,14,14
1629295219,18,12
1629299064,12,19
1629300966,13,13
1629304818,13,32
1629306725,21,18
1629308646,16,23
1629310579,9,17
1629312487,5,8
1629314649,9,19
1629316567,10,6
1629318496,15,16
1629320409,10,25
1629322570,7,11
1629326407,6,22
1629328326,6,11
1629330259,11,6
1629332411,7,19
