DateTime,AddedIPs,RemovedIPs
1628509697,59,63
1628511605,53,58
1628515453,59,51
1628519528,50,60
1628523381,54,50
1628525298,46,44
1628527450,60,60
1628529371,62,57
1628531296,59,62
1628533211,56,58
1628535127,56,55
1628537056,56,58
1628538969,63,57
1628541128,55,61
1628543303,31,33
1628545231,47,45
1628547131,50,54
1628549047,41,32
1628550983,31,45
1628552887,38,34
1628554813,30,34
1628556727,46,47
1628558661,38,40
1628560566,36,31
1628562489,31,32
1628564433,35,33
1628566341,39,48
1628568498,18,24
1628570416,47,33
1628572329,64,49
1628574256,60,65
1628578088,54,60
1628580249,49,52
1628582167,63,47
1628584104,51,63
1628586008,49,50
1628587928,55,54
1628589870,38,50
1628591768,49,41
1628593927,53,51
1628595848,57,53
1628597778,57,56
1628599685,53,54
1628601848,47,49
1628603767,53,53
1628605694,62,53
1628607610,56,64
1628609526,64,55
1628613367,57,63
1628615529,43,60
1628617446,23,22
1628619376,64,40
1628621284,58,64
1628623210,38,42
1628625125,53,55
1628627060,48,44
1628631131,50,55
1628633052,36,27
1628634980,58,63
1628636894,25,26
1628638819,49,56
1628640724,46,39
1628642647,55,52
1628644579,44,38
1628646487,43,58
1628648650,46,45
1628650568,43,37
1628652497,29,44
1628654425,29,32
1628656575,50,32
1628658487,39,42
1628660415,59,53
1628662329,51,61
1628664248,47,51
1628666177,52,48
1628668087,47,49
1628670247,38,49
1628672168,47,38
1628674099,34,47
1628676031,41,32
1628677928,39,42
1628679966,48,40
1628681768,58,46
1628683927,52,56
1628685848,53,55
1628687776,61,55
1628689688,62,59
1628691846,61,59
1628693766,60,64
1628695697,59,61
1628697621,51,56
1628699527,44,51
1628701463,45,34
1628703501,53,55
1628707215,49,53
1628709428,51,50
1628711296,55,45
1628713274,48,60
1628715135,57,48
1628717062,36,39
1628719278,28,39
1628721393,45,35
1628723296,23,22
1628725473,44,52
1628727617,45,43
1628729779,49,50
1628731697,40,34
1628733628,33,36
1628735541,49,44
1628737452,26,31
1628739377,44,43
1628741285,36,29
1628743452,50,57
1628745378,58,51
1628747287,57,62
1628749469,61,55
1628751376,59,62
1628753284,51,55
1628755214,63,53
1628757137,54,62
1628759309,66,53
1628761222,54,69
1628763139,53,52
1628765046,57,53
1628767039,51,59
1628769247,53,52
1628771061,57,52
1628772966,62,57
1628774887,59,63
1628776827,58,57
1628778737,55,57
1628782578,53,58
1628784737,46,52
1628786648,48,46
1628788575,50,47
1628790726,48,51
1628792654,44,41
1628794566,43,47
1628796485,39,32
1628798428,46,49
1628800326,41,47
1628802257,35,29
1628804180,53,48
1628806087,32,38
1628808016,60,48
1628809928,46,62
1628811856,39,41
1628813775,36,29
1628815929,44,46
1628817845,34,34
1628821690,39,47
1628823624,37,27
1628825536,34,44
1628827464,21,19
1628829378,43,38
1628831296,29,28
1628833217,46,44
1628835128,51,51
1628837047,48,52
1628838976,50,45
1628840887,43,50
1628843046,54,47
1628844967,48,53
1628846895,60,48
1628848818,51,58
1628850979,52,51
1628853127,56,51
1628855044,52,55
1628856977,42,54
1628858885,48,39
1628861046,64,48
1628862969,44,66
1628864894,52,46
1628866818,47,50
1628868725,61,48
1628870670,35,46
1628872570,47,50
1628874488,48,27
1628876419,60,68
1628878327,60,60
1628880246,52,58
1628882178,56,53
1628884084,57,58
1628886006,46,53
1628887935,61,50
1628889849,38,46
1628893697,46,51
1628895628,38,37
1628897526,35,41
1628899465,29,25
1628901366,46,42
1628903525,43,45
1628905455,43,44
1628907378,42,42
1628909287,44,35
1628911446,53,54
1628913368,35,37
1628915294,41,38
1628917217,42,48
1628919124,54,51
1628921074,45,46
1628922965,73,54
1628925128,58,71
1628927058,64,61
1628930887,61,61
1628933051,65,64
1628936896,49,62
1628938811,58,51
1628940725,56,56
1628942664,55,50
1628944568,51,61
1628946727,58,52
1628948646,56,60
1628950587,50,51
1628952486,53,54
1628954650,57,52
1628956567,58,56
1628958498,46,56
1628960418,61,47
1628964266,45,62
1628966173,50,44
1628968329,50,47
1628970249,50,49
1628972178,53,50
1628974331,51,56
1628976247,53,45
1628978178,54,54
1628980085,44,55
1628982021,42,46
1628983935,43,36
1628985855,39,41
1628988010,43,41
1628989939,41,48
1628991850,40,41
1628993770,34,28
1628995696,35,34
1628997608,36,42
1628999527,39,44
1629001462,40,38
1629003366,32,34
1629005528,73,44
1629009381,50,71
1629011297,51,49
1629013451,58,50
1629015366,55,58
1629017299,63,58
1629019208,50,65
1629021129,40,46
1629023046,51,40
1629024969,50,53
1629026895,39,45
1629028817,63,42
1629030724,52,62
1629032669,23,12
1629034567,61,66
1629036729,59,58
1629038645,52,61
1629040591,46,52
1629042487,51,45
1629046566,55,48
1629048509,47,56
1629050426,54,49
1629052328,42,52
1629054263,45,32
1629056171,44,57
1629058083,37,30
1629060019,60,52
1629061926,54,58
1629063851,40,40
1629065777,36,44
1629067690,32,36
1629069848,48,41
1629072020,31,38
1629073936,32,27
1629075856,32,27
1629077768,45,54
1629079937,44,46
1629081844,49,37
1629083782,27,39
1629085688,51,37
1629087620,32,52
1629089527,40,32
1629091445,58,45
1629093377,45,58
1629095297,60,43
1629097226,62,59
1629099129,54,64
1629101053,40,51
1629102977,61,41
1629104884,55,57
1629107046,51,56
1629108965,48,56
1629110899,55,48
1629112808,54,55
1629114727,59,52
1629116658,45,59
1629118567,52,42
1629120486,50,52
