DateTime,AddedIPs,RemovedIPs
1627743692,69,59
1627747319,71,52
1627750917,55,67
1627754510,65,52
1627758090,62,54
1627761691,55,52
1627765290,53,43
1627768890,51,44
1627772517,51,35
1627776111,46,47
1627779717,121,80
1627783310,58,66
1627786917,62,63
1627790494,46,56
1627794090,70,52
1627797717,110,59
1627801291,69,74
1627804917,78,91
1627808490,62,58
1627812114,64,70
1627815691,51,68
1627819319,56,61
1627822921,59,52
1627826490,69,48
1627830117,54,57
1627833710,59,67
1627837316,55,43
1627840915,64,71
1627844515,61,66
1627848119,68,79
1627851690,67,52
1627855313,39,35
1627858891,62,58
1627862519,65,52
1627866091,96,68
1627869719,52,60
1627873320,65,65
1627876921,64,74
1627880518,82,99
1627884090,105,66
1627887711,98,88
1627891293,125,75
1627894916,102,106
1627898515,79,86
1627902088,70,78
1627905715,82,108
1627909289,77,61
1627912894,56,85
1627916517,66,77
1627920113,60,124
1627923717,49,131
1627927322,52,106
1627930917,53,68
1627934518,63,62
1627938121,64,73
1627941692,63,66
1627945290,37,79
1627948892,107,85
1627952490,47,143
1627956119,114,81
1627959713,43,84
1627963291,47,121
1627966893,58,72
1627970518,66,93
1627974120,87,116
1627977692,89,80
1627981290,59,106
1627984890,93,89
1627988489,84,89
1627992118,64,263
1627995716,67,80
1627999315,88,103
1628002890,74,79
1628006487,80,97
1628010114,75,175
1628013716,102,118
1628017316,83,110
1628020906,59,77
1628024512,67,77
1628028089,66,84
1628031688,49,76
1628035318,53,93
1628038898,75,96
1628042490,58,154
1628046115,68,81
1628049716,65,88
1628053290,59,109
1628056915,85,95
1628060515,77,111
1628064087,111,98
1628067688,104,116
1628071313,80,86
1628074916,69,73
1628078515,95,119
1628082114,63,91
1628085689,70,122
1628089289,51,106
1628092888,76,92
1628096511,65,143
1628100088,85,59
1628103689,70,67
1628107306,77,60
1628110889,70,67
1628114490,60,60
1628118115,98,63
1628121691,67,75
1628125290,87,156
1628128891,91,74
1628132516,79,79
1628136091,73,67
1628139717,117,77
1628143310,76,104
1628146917,95,84
1628150491,130,92
1628154114,80,110
1628157714,83,90
1628161274,67,92
1628164891,59,120
1628168492,77,94
1628172090,86,75
1628175715,76,73
1628179308,64,61
1628182891,50,86
1628186517,83,80
1628190090,59,72
1628193691,57,136
1628197295,66,58
1628200894,61,79
1628204516,45,59
1628208090,65,78
1628211689,51,155
1628215317,79,71
1628218891,82,78
1628222493,138,95
1628226115,68,78
1628229716,66,91
1628233294,60,91
1628236890,98,104
1628240514,70,98
1628244091,60,115
1628247695,67,121
1628251289,57,98
1628254917,61,77
1628258513,117,87
1628262089,73,79
1628265669,52,97
1628269313,91,76
1628272919,100,81
1628276518,89,69
1628280115,68,86
1628283689,80,118
1628287289,62,102
1628290916,48,62
1628294519,69,64
1628298094,52,85
1628301689,84,77
1628305319,70,71
1628308916,39,73
1628312514,54,65
1628316112,68,78
1628319689,62,64
1628323313,67,68
1628326914,65,119
1628330488,81,108
1628334108,69,103
1628337686,49,92
1628341285,63,110
1628344916,54,134
1628348494,65,89
1628352110,78,91
1628355711,92,53
1628359286,58,77
1628362914,59,64
1628366485,33,66
1628370105,50,54
1628373685,52,49
1628377312,82,56
1628380913,58,59
1628384485,78,73
1628388105,56,55
1628391713,52,75
1628395306,55,53
1628398910,42,62
1628402486,34,90
1628406114,51,63
1628409704,85,90
1628413307,57,59
1628416905,48,69
1628420504,47,55
1628424110,70,67
1628427686,56,68
1628431306,66,77
1628434885,57,65
1628438505,43,53
1628442102,39,72
1628445708,68,78
1628449305,40,66
1628452913,47,66
1628456488,96,65
1628460114,532,50
1628463679,159,51
1628467311,74,76
1628470887,131,83
1628474489,71,71
1628478113,79,70
1628481714,134,71
1628485312,136,91
1628488884,102,102
1628492486,98,99
1628496088,97,107
1628499710,95,107
1628503310,112,85
1628506912,170,79
1628510483,91,76
1628514112,89,78
1628517686,79,66
1628521287,156,56
1628524902,366,69
1628528515,254,62
1628532106,145,53
1628535715,108,59
1628539314,83,80
1628542914,97,69
1628546506,80,68
1628550104,66,50
1628553711,68,101
1628557311,104,49
1628560918,69,76
1628564520,55,59
1628568109,99,47
1628571717,80,79
1628575310,84,67
1628578910,107,71
1628582513,114,97
1628586119,74,77
1628589714,93,62
1628593315,90,118
1628596918,79,63
1628600517,92,75
1628604094,70,78
1628607708,71,68
1628611289,88,84
1628614915,65,68
1628618490,78,69
1628622087,80,110
1628625719,67,52
1628629313,69,70
1628632889,74,65
1628636513,58,46
1628640091,68,56
1628643719,78,68
1628647307,75,47
1628650916,110,65
1628654502,67,53
1628658109,84,59
1628661718,73,81
1628665292,128,84
1628668917,95,104
1628672520,89,110
1628676114,59,94
1628679715,68,85
1628683317,84,109
1628686911,95,92
1628690515,96,77
1628694116,59,66
1628697688,66,57
1628701318,69,52
1628704910,76,66
1628708507,128,78
1628712116,187,77
1628715690,136,73
1628719293,66,58
1628722910,79,65
1628726510,61,70
1628730106,78,83
1628733699,63,72
1628737315,77,66
1628740916,67,79
1628744511,83,104
1628748116,70,74
1628751715,89,87
1628755315,90,113
1628758901,92,91
1628762496,81,78
1628766115,75,70
1628769715,88,56
1628773288,64,71
1628776913,74,84
1628780512,80,78
1628784107,93,75
1628787685,73,56
1628791317,88,69
1628794886,85,80
1628798515,91,64
1628802109,80,64
1628805710,75,62
1628809315,61,42
1628812886,69,57
1628816507,83,50
1628820112,56,73
1628823710,74,87
1628827317,91,143
1628830899,78,65
1628834500,68,70
1628838110,57,74
1628841719,106,99
1628845317,124,69
1628848917,118,89
1628852510,108,63
1628856108,138,64
1628859688,106,76
1628863317,100,66
1628866917,73,67
1628870516,66,40
1628874119,72,74
1628877689,73,76
1628881291,47,74
1628884893,78,71
1628888517,66,68
1628892089,74,59
1628895710,56,52
1628899312,60,70
1628902918,87,59
1628906486,47,82
1628910118,78,70
1628913718,65,46
1628917320,63,55
1628920910,52,53
1628924492,70,73
1628928112,73,72
1628931720,72,63
1628935312,86,70
1628938889,89,66
1628942518,62,70
1628946110,62,65
