DateTime,AddedIPs,RemovedIPs
1627743726,61,50
1627747322,58,40
1627750913,45,53
1627754520,54,44
1627758116,50,37
1627761715,40,41
1627765315,42,38
1627768906,36,33
1627772514,46,31
1627776122,42,44
1627779725,42,39
1627783321,54,52
1627786921,48,53
1627790516,36,48
1627794124,50,47
1627797724,50,46
1627801310,60,49
1627804909,66,43
1627808524,49,49
1627812118,51,56
1627815697,46,53
1627819323,47,51
1627822917,50,51
1627826505,58,40
1627830125,41,51
1627833714,48,50
1627837322,41,33
1627840920,46,60
1627844494,44,58
1627848115,58,58
1627851724,60,41
1627855317,33,27
1627858910,56,42
1627862526,47,44
1627866119,40,33
1627869726,46,45
1627873294,58,57
1627876919,52,62
1627880514,60,92
1627884120,85,60
1627887728,69,77
1627891322,84,61
1627894899,92,96
1627898519,69,76
1627902099,56,63
1627905726,67,96
1627909297,64,56
1627912919,47,78
1627916495,55,67
1627920124,47,54
1627923720,37,85
1627927321,41,65
1627930901,45,69
1627934521,53,56
1627938096,55,62
1627941721,50,50
1627945295,29,62
1627948922,103,72
1627952516,42,96
1627956123,58,74
1627959717,33,77
1627963303,43,115
1627966921,50,68
1627970498,62,72
1627974116,66,92
1627977717,61,71
1627981323,55,86
1627984898,88,80
1627988499,71,80
1627992119,54,245
1627995695,54,65
1627999321,81,87
1628002920,57,68
1628006515,62,79
1628010117,59,102
1628013723,92,92
1628017319,64,103
1628020909,49,65
1628024522,51,62
1628028097,52,73
1628031721,43,55
1628035289,45,67
1628038920,35,80
1628042490,49,85
1628046108,54,70
1628049709,53,86
1628053322,50,96
1628056896,77,86
1628060518,65,102
1628064119,88,92
1628067720,97,108
1628071321,66,79
1628074901,56,62
1628078519,86,115
1628082103,52,80
1628085722,61,117
1628089292,38,90
1628092921,61,79
1628096495,52,75
1628100120,65,49
1628103703,57,53
1628107313,60,52
1628110922,58,56
1628114493,52,42
1628118098,89,48
1628121721,59,55
1628125299,51,80
1628128918,74,58
1628132497,64,66
1628136103,65,60
1628139688,105,70
1628143320,68,86
1628146920,74,71
1628150524,88,83
1628154119,74,104
1628157696,74,72
1628161317,56,85
1628164894,45,107
1628168525,65,77
1628172123,68,59
1628175720,66,61
1628179320,45,48
1628182917,44,69
1628186520,77,71
1628190122,46,58
1628193699,39,63
1628197310,48,54
1628200912,60,56
1628204508,35,51
1628208120,40,70
1628211720,46,67
1628215303,53,56
1628218925,72,65
1628222527,120,83
1628226117,51,70
1628229705,57,76
1628233294,50,85
1628236923,80,104
1628240517,60,84
1628244099,50,105
1628247716,54,102
1628251321,46,83
1628254894,53,65
1628258523,105,76
1628262122,57,74
1628265696,44,78
1628269323,83,66
1628272911,81,58
1628276514,72,65
1628280122,55,72
1628283708,71,75
1628287321,49,70
1628290923,40,54
1628294490,60,53
1628298115,45,49
1628301721,52,57
1628305290,53,57
1628308908,31,69
1628312521,45,55
1628316113,60,66
1628319715,48,58
1628323303,47,58
1628326921,54,69
1628330503,71,58
1628334119,60,64
1628337717,41,42
1628341316,55,48
1628344885,47,77
1628348514,55,72
1628352117,72,75
1628355717,79,39
1628359310,46,57
1628362911,51,50
1628366490,29,45
1628370107,41,45
1628373710,48,41
1628377319,50,48
1628380909,50,55
1628384510,49,46
1628388107,42,44
1628391707,43,65
1628395315,52,40
1628398918,41,49
1628402511,33,55
1628406109,41,55
1628409714,50,80
1628413310,47,47
1628416908,44,51
1628420507,39,49
1628424109,57,55
1628427707,39,63
1628431316,53,68
1628434909,49,57
1628438515,36,45
1628442112,33,57
1628445709,58,63
1628449314,31,49
1628452905,34,59
1628456489,89,53
1628460113,516,45
1628463711,154,47
1628467287,60,62
1628470912,99,57
1628474489,53,64
1628478114,71,66
1628481685,128,57
1628485284,132,73
1628488913,91,77
1628492511,90,77
1628496084,70,90
1628499711,76,101
1628503310,101,71
1628506888,150,67
1628510513,80,68
1628514089,77,71
1628517686,73,57
1628521308,150,49
1628524884,344,56
1628528514,234,49
1628532113,133,44
1628535713,101,48
1628539307,68,69
1628542905,82,60
1628546505,71,54
1628550105,62,40
1628553709,62,97
1628557307,71,46
1628560887,64,55
1628564487,50,50
1628568114,87,43
1628571685,67,68
1628575318,76,60
1628578914,93,56
1628582515,84,74
1628586095,69,72
1628589691,80,59
1628593311,83,106
1628596886,69,52
1628600510,80,62
1628604110,58,72
1628607706,55,58
1628611289,71,73
1628614887,51,54
1628618488,65,59
1628622113,68,90
1628625687,57,42
1628629317,63,50
1628632888,62,48
1628636513,47,36
1628640113,60,51
1628643712,46,41
1628647310,66,39
1628650912,100,51
1628654512,60,46
1628658114,71,53
1628661707,68,68
1628665289,112,74
1628668913,78,83
1628672487,78,103
1628676085,54,78
1628679704,58,68
1628683285,70,98
1628686885,78,78
1628690488,80,66
1628694115,48,59
1628697687,54,44
1628701311,49,39
1628704907,60,52
1628708511,115,64
1628712104,172,60
1628715708,126,64
1628719285,54,52
1628722905,55,55
1628726486,50,58
1628730085,49,55
1628733710,58,57
1628737305,64,54
1628740915,65,72
1628744488,72,88
1628748114,66,67
1628751704,79,65
1628755305,63,82
1628758912,79,80
1628762511,74,68
1628766108,62,59
1628769687,78,46
1628773288,54,54
1628776912,62,68
1628780486,67,65
1628784111,69,53
1628787701,68,48
1628791284,76,60
1628794888,66,64
1628798504,79,44
1628802110,65,52
1628805707,67,57
1628809303,43,33
1628812915,57,43
1628816489,48,44
1628820099,52,48
1628823685,66,76
1628827307,81,123
1628830884,69,56
1628834510,61,58
1628838114,55,67
1628841712,86,77
1628845307,71,53
1628848884,71,66
1628852510,61,52
1628856114,80,54
1628859688,62,60
1628863310,65,58
1628866910,63,51
1628870504,57,36
1628874086,52,62
1628877689,52,61
1628881287,39,60
1628884886,51,58
1628888510,54,58
1628892088,66,49
1628895713,43,38
1628899316,42,56
1628902911,54,51
1628906497,41,54
1628910115,64,53
1628913685,46,38
1628917286,47,47
1628920907,43,42
1628924514,61,61
1628928090,53,49
1628931713,56,51
1628935291,74,60
1628938918,65,58
1628942507,52,60
1628946113,55,57
1628949715,56,56
1628953286,44,59
1628956910,53,71
1628960511,38,68
1628964090,51,63
1628967713,39,48
1628971286,56,39
1628974892,58,36
1628978491,56,49
1628982118,37,47
1628985688,50,57
1628989317,44,69
1628992887,41,37
1628996517,52,63
1629000087,49,72
1629003687,52,54
1629007288,56,40
1629010915,47,54
1629014489,47,65
1629018088,53,66
1629021713,57,44
1629025288,34,65
1629028921,61,63
1629032488,49,55
1629036108,61,65
1629039716,24,91
1629043311,43,74
1629046919,34,75
1629050512,35,79
1629054094,50,74
1629057712,40,82
1629061314,42,150
1629064909,44,178
1629068512,42,86
1629072122,46,68
1629075712,42,90
1629079314,46,57
1629082912,39,72
1629086515,52,100
1629090123,49,120
1629093714,67,104
1629097319,70,85
1629100911,87,73
1629104519,70,98
1629108117,50,110
1629111705,70,181
1629115317,47,125
1629118891,70,98
1629122492,57,94
1629126115,68,177
1629129719,49,159
1629133315,54,114
1629136900,80,103
1629140519,47,97
1629144120,63,90
1629147718,782,89
1629151321,1353,83
1629154917,518,155
1629158521,266,157
1629162114,137,79
1629165722,109,88
1629169312,94,77
1629172912,91,74
1629176488,93,71
1629180111,99,82
1629183716,84,104
1629187324,94,89
1629190922,70,88
1629194511,95,82
1629198116,69,101
1629201718,73,84
1629205311,217,88
1629208909,201,75
1629212488,204,57
1629216112,108,65
1629219722,93,58
1629223312,84,64
1629226920,83,69
1629230515,70,52
1629234115,70,74
1629237713,75,63
