DateTime,Entries,UniqueIPs
1628751376,8675,8966
1628751603,8894,9192
1628753284,8893,9188
1628755214,8909,9202
1628757137,9082,9377
1628757902,9318,9613
1628759309,9329,9624
1628761222,9346,9640
1628763139,9480,9777
1628765046,9580,9880
1628767039,9707,10013
1628769247,9812,10121
1628771061,10040,10349
1628771402,10210,10525
1628772966,10223,10538
1628774887,10217,10531
1628776827,10382,10699
1628777702,10627,10949
1628778737,10613,10935
1628779502,10741,11064
1628782578,10712,11034
1628784737,10855,11179
1628786648,10867,11191
1628788575,10864,11188
1628790726,11336,11672
1628792654,11459,11798
1628794566,11458,11797
1628796485,11463,11800
1628797502,11819,12167
1628798428,11821,12170
1628800326,11821,12169
1628801102,11959,12309
1628802257,11962,12313
1628803695,11969,12320
1628804180,11978,12329
1628806087,12116,12468
1628808016,12168,12520
1628809928,12270,12624
1628811372,12271,12623
1628811856,12283,12637
1628813775,12287,12642
1628814602,8039,8278
1628815929,8044,8283
1628817845,8046,8288
1628821690,8035,8274
1628823129,8261,8505
1628823624,8262,8509
1628825536,8258,8503
1628826302,8597,8850
1628827464,8593,8846
1628829378,8582,8834
1628829902,8740,8995
1628830810,8767,9027
1628831296,8770,9028
1628833217,8771,9027
1628834646,8776,9032
1628835128,8781,9034
1628837047,8785,9034
1628837102,9085,9344
1628838976,9090,9349
1628840887,9083,9342
1628843046,9073,9333
1628844967,9492,9761
1628846895,9492,9760
1628848818,9491,9759
1628850979,9505,9773
1628851502,10255,10534
1628853127,10256,10535
1628855044,10255,10536
1628856977,10252,10531
1628858885,10262,10541
1628861046,10483,10766
1628862969,10483,10765
1628864894,10906,11201
1628866818,10906,11201
1628868725,10933,11232
1628870670,11564,11887
1628872570,11561,11884
1628874002,11759,12085
1628874488,11756,12082
1628876419,11760,12087
1628877603,11946,12280
1628878327,11937,12271
1628880246,11945,12280
1628881202,12127,12468
1628882178,12134,12478
1628884084,12133,12478
1628884802,12307,12654
1628886006,12297,12644
1628887935,12306,12653
1628888402,12485,12838
1628889849,12482,12837
1628892003,12659,13021
1628893697,12633,12994
1628895146,12652,13013
1628895628,12653,13014
1628895880,12635,12996
1628897048,12636,12998
1628897526,12633,12995
1628899465,12632,12992
1628901366,8228,8494
1628903525,8231,8497
1628905455,8234,8499
1628905503,8517,8785
1628907378,8531,8800
1628908567,8524,8792
1628909287,8527,8795
1628911446,8527,8794
1628913368,8780,9056
1628914502,8962,9239
1628915294,8960,9237
1628916247,8973,9250
1628917217,8986,9263
1628919124,9134,9416
1628921074,9257,9545
1628922965,9265,9552
1628923924,9286,9574
1628925128,9392,9683
1628927058,9388,9678
1628930887,9456,9746
1628933051,9791,10093
1628936896,9762,10063
1628938811,9757,10059
1628939702,10086,10400
1628940725,10082,10395
1628942664,10075,10389
1628944568,10074,10388
1628946727,10087,10401
1628948646,10251,10571
1628950587,10251,10571
1628952486,10550,10882
1628954650,10548,10882
1628956567,10551,10884
1628958498,10742,11079
1628958602,10977,11321
1628960418,10982,11326
1628964266,11126,11469
1628966173,11212,11556
1628968329,11292,11639
1628970249,11289,11633
1628972178,11283,11627
1628973002,11606,11958
1628974331,11612,11964
1628976247,11611,11968
1628978178,11711,12067
1628980085,11789,12146
1628982021,11872,12233
1628983935,12024,12387
1628985855,12096,12462
1628987543,12096,12462
1628988015,12110,12474
1628989939,12108,12471
1628991850,12113,12476
1628993770,7200,7437
1628995696,7184,7418
1628997608,7447,7694
1628999527,7455,7702
1629001462,7473,7719
1629003366,7635,7885
1629003603,7733,7994
1629005528,7733,7998
1629009381,7717,7981
1629011297,8026,8298
1629013451,8037,8306
1629014402,8169,8442
1629015366,8160,8435
1629017299,8159,8434
1629019208,8187,8463
1629021129,8182,8458
1629021603,8501,8788
1629023046,8522,8809
1629024969,8526,8813
1629026895,8519,8806
1629028817,8517,8805
1629030724,8823,9125
