DateTime,AddedIPs,RemovedIPs
1623474020,1989,1489
1623480013,16,12
1623502355,385,379
1623542419,30,0
1623550334,19,29
1623556742,123,67
1623559213,26,20
1623565929,1517,1302
1623595961,355,382
1623629293,26,42
1623637209,24,20
1623643142,1679,1735
1623645365,25,29
1623653050,14,22
1623688333,403,394
1623715692,39,11
1623723610,23,26
1623729542,2010,2206
1623731288,27,0
1623738970,10,10
1623780020,372,369
1623802088,33,21
1623809773,2125,1928
1623815942,89,75
1623817447,23,48
1623825125,17,21
1623872414,381,409
1623887287,30,16
1623891620,1929,1821
1623898883,25,32
1623902649,28,0
1623910329,119,108
1623964826,343,391
1623973932,25,0
1623978020,1924,2002
1623985929,24,26
1623988742,97,88
1623990009,27,18
1623997932,15,0
1624057947,340,363
1624060570,27,45
1624064419,1701,1484
1624072327,25,15
1624076168,113,91
1624083854,8,16
1624146249,23,16
1624150823,344,380
1624157765,1585,1348
1624161542,79,78
1624165691,26,41
1624169526,12,13
1624231446,19,0
1624237219,1503,1931
1624242509,398,346
1624242970,28,22
1624247942,81,67
1624250652,27,19
1624258328,10,38
1624320249,34,47
1624327928,2107,1859
1624334678,415,339
1624335850,105,106
1624343524,14,10
1624405448,27,35
1624416965,1933,2084
1624420742,89,82
1624424888,37,27
1624426105,338,352
1624428730,17,20
1624489219,2185,1930
1624490890,19,16
1624502405,32,23
1624507142,87,85
1624510330,35,34
1624514168,18,0
1624518731,361,371
1624572018,2039,1769
1624579688,35,20
1624587365,35,0
1624593542,108,78
1624595047,23,0
1624602726,14,51
1624610887,358,396
1624654818,1948,1415
1624664648,31,20
1624676420,37,45
1624679942,99,93
1624684332,32,43
1624688168,15,0
1624702585,407,345
1624737619,1731,1412
1624750087,22,0
1624761846,35,21
1624766342,83,129
1624769770,30,28
1624773852,8,21
1624794254,341,362
1624820418,1502,1922
1624836250,21,28
1624848250,25,0
1624852742,105,71
1624855928,34,25
1624859764,17,29
1624886413,348,345
1624903222,2020,1696
1624921931,29,18
1624933447,31,21
1624939143,103,63
1624941368,33,0
1624949052,15,24
1624977852,416,352
1624989620,2073,1857
1625011448,22,44
1625019366,26,15
1625025543,79,73
1625027048,31,32
1625034727,14,15
1625069300,450,408
1625072421,2005,1660
1625096408,30,19
1625108166,19,47
1625111942,79,113
1625115847,32,49
1625119686,19,0
1625158821,1942,1673
1625161212,377,366
1625182330,32,0
1625193846,31,22
1625198342,100,87
1625201529,21,18
1625205364,15,20
1625245220,2077,1866
1625252191,363,356
1625267771,20,33
1625279288,27,0
1625284742,84,106
1625287208,29,19
1625294884,16,38
1625311450,382,0
1625331619,1626,1603
1625353690,22,24
1625365446,22,57
1625371142,95,77
1625373127,27,0
1625380806,15,0
1625403621,367,395
1625418020,1416,1692
1625442488,31,46
1625454249,18,26
1625458332,149,156
1625466006,12,28
1625495768,368,343
1625504418,2125,2039
1625528170,24,22
1625539685,28,34
1625543942,119,70
1625547367,28,0
1625551218,15,0
1625587461,425,336
1625590819,2195,1923
1625613131,25,0
1625625131,26,0
1625630342,122,70
1625632807,23,54
1625640489,19,24
1625673619,2039,2181
1625679619,420,341
1625702891,18,70
1625710571,24,24
1625716743,120,69
1625718734,24,24
1625726411,18,15
1625756419,2029,1929
1625772489,365,342
1625788328,14,37
1625799847,25,63
1625803143,92,67
1625807771,24,29
1625811608,18,20
1625839221,1807,2049
1625864417,374,410
1625873529,23,0
1625885048,23,0
1625889542,113,75
1625892730,30,23
1625900484,18,12
1625925620,1579,1036
1625956087,368,361
1625958492,20,21
1625970009,35,32
1625975942,93,83
1625977694,28,0
1625985367,8,12
1626008420,1334,1567
