DateTime,AddedIPs,RemovedIPs
1628562490,104,50
1628564434,111,85
1628566342,87,45
1628568499,111,68
1628570417,121,86
1628572330,98,47
1628574257,137,45
1628576176,121,51
1628578089,93,48
1628580250,93,41
1628582168,105,52
1628584105,92,35
1628586009,88,93
1628587928,125,45
1628589871,102,2337
1628591768,102,46
1628593927,850,0
1628595849,119,20
1628597779,121,37
1628599686,82,26
1628601849,103,36
1628603768,115,24
1628605694,82,27
1628607611,99,29
1628609527,69,22
1628611464,73,15
1628613367,89,30
1628615529,90,31
1628617446,84,28
1628619376,62,37
1628621285,77,31
1628623211,98,46
1628625126,63,30
1628627060,77,39
1628628967,79,51
1628631131,98,48
1628633052,64,39
1628634980,91,39
1628636895,681,0
1628638820,61,19
1628640725,57,26
1628642647,59,23
1628644580,54,24
1628646488,43,20
1628648651,78,23
1628650568,63,23
1628652498,43,18
1628654426,49,17
1628656576,73,26
1628658488,63,23
1628660415,46,28
1628662330,31,20
1628664249,55,34
1628666178,41,31
1628668087,57,37
1628670248,63,39
1628672169,63,48
1628674099,57,38
1628676032,42,3438
1628677928,84,100
1628679967,2062,0
1628681768,49,55
1628683928,60,81
1628685849,62,61
1628687777,53,69
1628689689,59,64
1628691847,77,96
1628693767,64,84
1628695698,65,71
1628697622,60,99
1628699528,69,56
1628701463,54,84
1628703502,74,98
1628705307,65,83
1628707216,56,86
1628709429,73,95
1628711296,57,72
1628713274,71,94
1628715136,62,96
1628717063,63,73
1628719279,85,116
1628721394,62,92
1628723297,1596,0
1628725473,44,64
1628727618,58,63
1628729779,64,57
1628731698,34,51
1628733629,64,60
1628735542,48,57
1628737453,51,57
1628739378,83,62
1628741286,37,66
1628743452,72,61
1628745378,57,83
1628747288,59,66
1628749469,64,81
1628751376,61,73
1628753285,42,64
1628755215,52,68
1628757138,62,71
1628759309,53,74
1628761223,66,77
1628763139,56,3174
1628765047,106,98
1628767040,1654,0
1628769247,65,72
1628771062,57,44
1628772967,70,63
1628774888,56,59
1628776828,68,54
1628778738,51,73
1628780653,61,58
1628782578,78,58
1628784737,71,64
1628786649,80,69
1628788576,87,76
1628790726,97,54
1628792655,54,60
1628794567,73,60
1628796485,66,41
1628798429,65,70
1628800326,58,52
1628802257,56,64
1628804181,57,58
1628806088,61,56
1628808017,62,84
1628809929,1175,0
1628811857,36,43
1628813776,44,36
1628815930,43,48
1628817846,40,50
1628819775,53,42
1628821691,41,55
1628823625,55,54
1628825536,46,44
1628827464,38,35
1628829378,44,59
1628831296,32,49
1628833217,37,50
1628835128,28,42
1628837048,33,41
1628838977,58,40
1628840888,40,39
1628843047,51,52
1628844968,61,58
1628846895,51,48
1628848819,65,3202
1628850980,110,105
1628853128,1823,0
1628855045,71,64
1628856978,71,80
1628858886,88,68
1628861046,81,68
1628862969,69,60
1628864895,60,59
1628866819,59,71
1628868725,58,70
1628870670,69,59
1628872570,58,90
1628874489,43,62
1628876419,71,64
1628878327,60,65
1628880246,50,59
1628882179,48,89
1628884086,55,64
1628886007,51,62
1628887936,58,88
1628889849,51,68
1628891767,48,84
1628893698,62,73
1628895629,1378,0
1628897527,48,53
1628899466,41,56
1628901367,64,56
1628903526,50,54
1628905456,35,39
1628907379,41,51
1628909288,38,46
1628911447,45,65
1628913368,50,53
1628915295,27,60
1628917218,39,59
1628919125,37,48
1628921075,42,46
1628922966,45,56
1628925129,42,71
1628927059,35,52
1628928978,31,58
1628930888,37,57
1628933052,53,69
1628934966,48,68
1628936897,48,3153
1628938812,1703,0
1628940726,69,63
1628942665,60,51
1628944569,64,68
1628946728,57,74
1628948647,73,57
1628950588,78,61
1628952487,57,64
1628954650,73,83
1628956567,77,59
1628958499,59,56
1628960419,75,62
1628962325,54,49
1628964267,48,48
1628966174,71,99
1628968329,60,67
1628970250,64,63
1628972179,74,70
1628974331,76,90
1628976247,67,67
1628978179,49,80
1628980086,58,67
1628982022,1248,0
1628983936,42,46
1628985856,39,40
1628988011,73,57
1628989939,68,48
1628991851,38,40
1628993771,33,44
1628995697,52,43
1628997608,51,55
1628999527,39,42
1629001463,33,47
1629003367,41,46
1629005528,42,41
1629007455,38,35
1629009381,45,53
1629011299,35,43
1629013451,52,59
1629015367,65,53
1629017300,47,66
1629019209,45,57
1629021129,51,67
1629023047,42,2926
1629024970,72,126
1629026896,1574,0
1629028818,71,58
1629030725,55,63
1629032670,55,52
1629034568,55,62
1629036730,51,81
1629038646,34,59
1629040592,47,69
1629042487,43,45
1629044651,53,64
1629046567,67,58
