DateTime,Entries,UniqueIPs
1628562490,8321,8321
1628564434,8347,8347
1628566342,8389,8389
1628568499,8432,8432
1628570417,8467,8467
1628572330,8518,8518
1628574257,8610,8610
1628576176,8680,8680
1628578089,8725,8725
1628580250,8777,8777
1628582168,8830,8830
1628584105,8887,8887
1628586009,8882,8882
1628587928,8962,8962
1628589871,6727,6727
1628591768,6783,6783
1628593927,7633,7633
1628595849,7732,7732
1628597779,7816,7816
1628599686,7872,7872
1628601849,7939,7939
1628603768,8030,8030
1628605694,8085,8085
1628607611,8155,8155
1628609527,8202,8202
1628611464,8260,8260
1628613367,8319,8319
1628615529,8378,8378
1628617446,8434,8434
1628619376,8459,8459
1628621285,8505,8505
1628623211,8557,8557
1628625126,8590,8590
1628627060,8628,8628
1628628967,8656,8656
1628631131,8706,8706
1628633052,8731,8731
1628634980,8783,8783
1628636895,9464,9464
1628638820,9506,9506
1628640725,9537,9537
1628642647,9573,9573
1628644580,9603,9603
1628646488,9626,9626
1628648651,9681,9681
1628650568,9721,9721
1628652498,9746,9746
1628654426,9778,9778
1628656576,9825,9825
1628658488,9865,9865
1628660415,9883,9883
1628662330,9894,9894
1628664249,9915,9915
1628666178,9925,9925
1628668087,9945,9945
1628670248,9969,9969
1628672169,9984,9984
1628674099,10003,10003
1628676032,6607,6607
1628677928,6591,6591
1628679967,8653,8653
1628681768,8647,8647
1628683928,8626,8626
1628685849,8627,8627
1628687777,8611,8611
1628689689,8606,8606
1628691847,8587,8587
1628693767,8567,8567
1628695698,8561,8561
1628697622,8522,8522
1628699528,8535,8535
1628701463,8505,8505
1628703502,8481,8481
1628705307,8463,8463
1628707216,8433,8433
1628709429,8411,8411
1628711296,8396,8396
1628713274,8373,8373
1628715136,8339,8339
1628717063,8329,8329
1628719279,8298,8298
1628721394,8268,8268
1628723297,9864,9864
1628725473,9844,9844
1628727618,9839,9839
1628729779,9846,9846
1628731698,9829,9829
1628733629,9833,9833
1628735542,9824,9824
1628737453,9818,9818
1628739378,9839,9839
1628741286,9810,9810
1628743452,9821,9821
1628745378,9795,9795
1628747288,9788,9788
1628749469,9771,9771
1628751376,9759,9759
1628753285,9737,9737
1628755215,9721,9721
1628757138,9712,9712
1628759309,9691,9691
1628761223,9680,9680
1628763139,6562,6562
1628765047,6570,6570
