DateTime,AddedIPs,RemovedIPs
1622196970,15,3
1622211624,5,16
1622226254,12,6
1622240886,7,4
1622255528,2,7
1622270192,4,6
1622284826,3,8
1622299446,10,8
1622314332,5,7
1622329335,8,7
1622344104,12,5
1622358993,7,7
1622373848,5,5
1622388507,11,6
1622403124,6,5
1622417785,8,5
1622432412,3,3
1622447048,12,5
1622461686,8,2
1622476330,6,6
1622490983,10,11
1622505616,10,8
1622520247,3,3
1622535133,8,6
1622549765,2,7
1622564429,4,7
1622579045,0,6
1622593946,11,11
1622608572,6,8
1622623459,3,5
1622638332,12,4
1622653292,9,10
1622667869,20,11
1622682485,5,7
1622697369,6,6
1622712007,12,5
1622726656,7,9
1622741530,6,4
1622756171,7,8
1622770811,2,5
1622785448,7,4
1622800331,2,10
1622814981,3,3
1622829621,9,5
1622844266,7,6
1622858902,15,10
1622873789,7,6
1622888649,4,9
1622903532,6,4
1622918425,8,4
1622933069,5,3
1622947929,6,4
1622962820,1,4
1622977461,2,7
1622992090,12,10
1623006734,17,12
1623021389,8,8
1623036247,19,4
1623051147,15,4
1623066027,6,8
1623080891,5,5
1623095545,8,8
1623110170,9,10
1623124807,2,8
1623139450,7,4
1623154114,12,7
1623168987,10,2
1623183609,11,13
1623198251,10,5
1623213129,4,4
1623228028,12,6
1623242648,6,4
1623257530,11,10
1623272184,9,7
1623286820,13,5
1623301468,20,5
1623316093,9,4
1623330746,10,4
1623345391,10,8
1623360251,10,5
1623375145,6,6
1623390012,11,4
1623404666,6,5
1623419303,11,9
1623433941,11,5
1623448586,11,7
1623463449,7,9
1623478333,3,5
1623493227,11,11
1623507863,5,9
1623522728,13,6
1623537627,4,7
1623552251,10,7
1623567132,6,4
1623581775,4,9
1623596438,12,9
1623611065,7,6
1623625933,11,5
1623640812,8,8
1623655692,13,6
1623670326,14,8
1623684987,9,4
1623699849,15,8
1623714502,13,7
1623729145,8,3
1623743766,10,5
1623758655,2,3
1623773529,6,5
1623788485,10,10
1623803066,11,8
1623817929,8,11
1623832827,12,5
1623847462,6,5
1623862083,3,15
1623876741,12,8
1623891663,14,9
1623906506,11,2
1623921126,5,2
1623935768,9,7
1623950405,10,4
1623965289,7,9
1623979944,7,3
1623994822,12,4
1624009456,11,0
1624024090,12,5
1624038729,9,21
1624053381,5,20
1624068253,12,7
1624082888,11,10
1624097780,12,3
1624112651,8,5
1624127285,7,5
1624141941,12,7
1624156580,8,15
1624171217,4,10
1624185848,4,4
1624200728,3,8
1624215368,15,6
1624230021,21,12
1624244645,10,6
1624259531,8,13
1624274407,7,5
1624289060,8,7
1624303931,7,5
1624318567,1,11
1624333219,7,4
1624347846,7,6
1624362498,5,7
1624377368,14,5
1624392016,9,6
1624406646,11,4
1624421286,7,7
1624435938,4,0
1624450579,8,5
1624465221,8,2
1624479866,8,1
1624494733,3,5
1624509370,1,2
1624524246,7,3
1624539128,5,2
1624553768,6,0
1624568419,9,3
1624583049,4,4
1624597699,6,3
1624612332,13,2
1624627206,8,4
1624641848,8,5
1624656485,5,3
1624671139,8,3
1624685770,12,2
1624700417,7,3
1624715045,7,3
1624729928,3,0
1624744577,11,1
1624759228,8,4
1624773856,3,1
1624788728,1,5
1624803380,5,1
1624818260,4,0
1624833128,7,6
1624847779,9,5
1624862420,8,5
1624877047,4,0
1624891684,7,5
1624906333,9,4
1624920967,0,2
1624935627,4,3
1624950258,7,1
1624965126,9,0
1624979779,7,1
1624994405,4,4
1625009048,2,1
1625023684,5,3
1625038337,6,1
1625052979,5,3
1625067616,9,7
1625082246,3,4
1625096888,3,1
1625111528,12,5
1625126167,8,2
1625140826,8,2
1625155460,4,4
1625170342,5,1
1625184978,5,1
1625199621,9,1
1625214249,5,5
1625228902,4,5
1625243538,5,11
1625258178,10,4
1625272816,13,3
1625287690,5,3
1625302339,6,3
1625316969,11,1
1625331629,9,4
1625346247,5,4
1625361140,5,1
1625375768,9,4
1625390406,14,5
1625405049,5,5
1625419698,5,1
1625434327,10,1
1625448972,5,1
1625463610,7,4
1625478263,8,1
1625493146,8,4
1625507778,13,2
1625522497,19,1
1625537058,7,3
1625551687,7,0
1625566330,5,3
1625580966,6,0
1625595850,10,7
1625610500,10,4
1625625134,11,0
1625640009,8,1
1625654647,8,2
1625669526,5,5
1625684179,8,2
1625699052,8,4
1625713688,9,1
1625728326,3,4
1625742977,10,5
1625757609,5,3
1625772259,10,1
1625786901,6,0
1625801531,18,4
1625816170,9,3
1625831051,9,1
1625845925,2,9
1625860855,11,5
1625875448,8,4
1625890088,11,3
1625904729,8,0
1625919368,8,8
1625934005,7,8
1625948645,5,5
1625963301,9,2
1625978183,14,4
1625992822,6,0
1626007448,23,0
1626022330,6,1
1626036968,6,4
1626051617,9,0
1626066250,4,1
1626080890,6,1
1626095544,8,2
1626110177,2,3
1626124805,8,8
1626139700,10,10
1626154326,11,3
1626168969,9,4
1626183609,0,3
1626198249,4,3
1626212884,2,16
1626227538,8,1
1626242178,8,3
1626257065,7,12
1626271685,19,13
1626286328,7,6
1626300978,7,0
1626315622,5,4
1626330252,7,8
1626345126,4,10
1626359769,5,12
1626374409,6,5
1626389048,1,4
1626403685,13,7
1626418326,6,5
1626432969,2,16
1626447686,6,9
1626462496,8,4
1626477132,8,6
1626491777,9,5
1626506408,3,1
1626521060,10,14
1626535932,3,5
1626550812,4,7
1626565446,2,4
1626580088,0,3
1626594726,3,5
1626609643,4,9
1626624257,26,3
1626639137,3,2
1626653778,8,2
1626668421,2,8
1626683048,2,0
1626697930,3,12
1626712566,6,2
1626727208,13,5
1626741863,3,7
1626756738,12,11
1626771378,5,4
1626786327,5,7
1626800885,9,16
1626815541,5,2
1626830181,5,0
1626845049,4,6
1626859701,15,4
1626874325,5,3
1626888979,9,11
1626903610,7,8
1626918250,16,10
1626932889,31,1
1626947536,9,4
1626962167,6,3
1626976821,6,6
1626991459,9,7
1627006327,10,2
1627021211,5,3
1627035852,5,5
1627050485,2,9
1627065139,6,11
1627079769,5,24
1627094414,10,9
1627109051,6,6
1627123697,3,3
1627138338,6,4
1627152968,1,14
1627167847,7,10
1627182734,16,11
1627197382,11,2
1627212009,6,6
1627226648,2,7
1627241299,4,22
1627255929,18,9
1627270579,2,26
1627285220,32,56
1627299850,5,24
1627314495,11,10
1627329125,8,21
1627343770,10,7
1627358428,6,9
1627373045,7,8
1627387686,5,8
1627402335,6,17
1627416978,15,9
1627431617,6,17
1627446260,6,5
1627460895,12,15
1627475532,6,9
1627490182,4,14
1627504827,12,13
1627519446,3,11
1627534100,6,9
1627548726,7,19
1627563366,8,15
1627578007,1,10
1627592659,5,15
1627607300,7,12
1627621928,8,20
1627636576,6,16
1627651449,9,12
1627666326,10,15
1627680967,3,17
1627695621,7,15
1627710251,10,17
1627725127,7,12
1627739769,13,16
1627754417,11,12
1627769056,8,15
1627783684,11,15
1627798335,7,11
