DateTime,AddedIPs,RemovedIPs
1627822803,34,0
1627825502,86,0
1627826402,30,0
1627829102,101,0
1627830003,26,0
1627832702,154,0
1627839902,383,0
1627840803,37,0
1627843502,107,0
1627848002,187,1
1627850702,92,0
1627851603,26,0
1627854302,242,0
1627858803,155,0
1627859702,17,0
1627862402,74,3164
1627863302,34,0
1627866002,86,0
1627869602,129,0
1627873202,230,0
1627874101,33,0
1627880403,240,0
1627884902,159,0
1627887603,179,0
1627892101,233,0
1627894802,122,0
1627895702,52,0
1627898403,122,0
1627899302,47,0
1627906502,405,0
1627913702,408,0
1627920003,317,0
1627920902,42,0
1627924503,154,0
1627928102,147,0
1627931702,151,0
1627932603,29,0
1627934403,83,0
1627935302,61,0
1627939803,198,0
1627947002,208,0
1627948803,51,3352
1627950602,52,0
1627954202,143,0
1627956003,85,0
1627959602,145,0
1627961402,63,0
1627964102,97,1
1627967702,161,0
1627971302,157,0
1627974902,147,0
1627978503,156,0
1627979402,41,0
1627982102,135,0
1627989302,505,0
1627993802,256,0
1627996502,148,0
1627997402,38,0
1628003702,304,0
1628009102,314,0
1628012702,144,0
1628019902,499,0
1628023502,158,0
1628027102,135,0
1628032502,194,0
1628037902,189,3822
1628038802,37,0
1628042402,199,0
1628046003,142,0
1628051402,234,0
1628055002,183,0
1628056802,72,0
1628064003,390,0
1628071202,486,0
1628076602,440,0
1628078403,160,0
1628080202,135,0
1628082902,268,0
1628086502,233,0
1628092802,455,0
1628093702,43,0
1628100902,430,0
1628105402,203,0
1628111702,298,0
1628115302,175,0
1628116202,29,0
1628118902,95,0
1628119802,44,0
1628127002,307,3958
1628130602,168,0
1628134202,188,0
1628141402,443,0
1628142302,45,0
1628145902,189,0
1628147702,92,0
1628149502,103,0
1628153102,214,0
1628155803,138,0
1628156703,48,0
1628160302,210,0
1628163002,165,0
1628163903,71,0
1628170202,413,0
1628171102,63,0
1628175602,257,0
1628179202,260,0
1628182802,243,0
1628186403,252,0
1628188202,104,0
1628193602,303,0
1628197203,195,0
1628200803,214,0
1628204403,181,0
1628206203,92,0
1628208002,80,4736
1628215202,408,0
1628222402,384,0
1628226902,234,0
1628231402,223,0
1628234102,154,0
1628237702,176,0
1628239502,111,0
1628243103,209,0
1628244902,91,0
1628248502,200,0
1628252102,188,0
1628255701,213,0
1628259303,187,0
1628261102,97,0
1628262902,98,0
1628269203,365,0
1628274602,341,0
1628281802,382,0
1628285402,186,0
1628289002,176,0
1628290802,101,0
1628292601,115,0
1628296201,150,5033
1628297103,54,0
1628300703,246,0
1628304302,216,0
1628307902,168,0
1628315103,397,0
1628318702,219,0
1628320502,74,0
1628322302,80,0
1628325903,197,0
1628333102,434,0
1628336702,212,0
1628342102,312,0
1628344802,168,0
1628348403,194,0
1628352003,198,0
1628355603,164,0
1628359202,163,0
1628364603,296,0
1628366403,73,0
1628368202,91,0
1628370003,84,0
1628376302,217,0
1628379902,111,0
1628380803,38,4909
1628383502,96,0
1628385302,77,0
1628388902,148,0
1628392502,170,0
1628394302,67,0
1628396101,82,0
1628401502,224,0
1628403303,63,0
1628406902,153,0
1628408702,83,0
1628410503,66,0
1628415002,184,0
1628415902,30,0
1628418602,111,0
